AirportID,City,IATA,Country,Name,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz,Type,Source,
9025,Bijie,BFJ,China,Bijie Feixiong Airport,ZUBJ,27.267066,105.472097,4751,8,N,Asia/Shanghai,airport,OurAirports,
9026,Lensk,ULK,Russia,Lensk Airport,UERL,60.72060013,114.8259964,801,9,N,Asia/Yakutsk,airport,OurAirports,
9042,Kavalerovo,KVR,Russia,Kavalerovo Airport,UHWK,44.2726,135.029,730,10,N,Asia/Vladivostok,airport,OurAirports,
9043,Igdir,IGD,Turkey,I?d?r Airport,LTCT,39.97662735,43.87664795,3101,3,E,Europe/Istanbul,airport,OurAirports,
9044,Sanliurfa,GNY,Turkey,?anl?urfa GAP Airport,LTCS,37.445663,38.895592,2708,3,E,Europe/Istanbul,airport,OurAirports,
9045,Kutahya,KZR,Turkey,Zafer Airport,LTBZ,39.113079,30.128111,3327,3,E,Europe/Istanbul,airport,OurAirports,
9048,Velikiye Luki,VLU,Russia,Velikiye Luki Airport,ULOL,56.3810997,30.60810089,328,3,N,Europe/Moscow,airport,OurAirports,
9053,Bangalore,\N,India,Yelahanka Air Force Station,VOYK,13.13549995,77.60600281,3045,5.5,N,Asia/Calcutta,airport,OurAirports,
9054,Novosibirsk,\N,Russia,Yeltsovka Airport,UNNE,55.0923996,83.00450134,617,7,N,Asia/Krasnoyarsk,airport,OurAirports,
9062,Kodinsk,\N,Russia,Kodinsk Airport,UNKI,58.47940063,99.09390259,0,7,N,Asia/Krasnoyarsk,airport,OurAirports,
9065,Lake Macquarie,BEO,Australia,Lake Macquarie Airport,YPEC,-33.0667,151.647995,2,10,O,Australia/Sydney,airport,OurAirports,
9066,Hampton,\N,United States,Henry County Airport,K4A7,33.389099,-84.332397,874,-5,A,America/New_York,airport,OurAirports,
9068,Brampton Island,BMP,Australia,Brampton Island Airport,YBPI,-20.80330086,149.2700043,11,10,O,Australia/Brisbane,airport,OurAirports,
9071,Alameda,NGZ,United States,Alameda Naval Air Station,KNGZ,37.78889847,-122.3199997,10,-8,U,America/Los_Angeles,airport,OurAirports,
9075,Endelage,\N,Denmark,Endelave Flyveplads,EKEL,55.7565,10.2485,15,1,E,Europe/Copenhagen,airport,OurAirports,
9076,St. Johann in Tirol,\N,Austria,St. Johann In Tirol Airport,LOIJ,47.5201,12.4497,2198,1,E,Europe/Vienna,airport,OurAirports,
9079,Thalmaessing,\N,Germany,Thalm?ssing-Waizenhofen Airport,EDPW,49.06416702,11.20916653,1893,1,E,Europe/Berlin,airport,OurAirports,
9088,Cochrane,YCN,Canada,Cochrane Airport,CYCN,49.10559845,-81.01360321,861,-5,A,America/Toronto,airport,OurAirports,
9089,Braganca Paulista,BJP,Brazil,Estadual Arthur Siqueira Airport,SBBP,-22.979162,-46.537508,2887,-3,S,America/Sao_Paulo,airport,OurAirports,
9090,Brusselton,BQB,Australia,Busselton Regional Airport,YBLN,-33.68842316,115.4015961,55,8,O,Australia/Perth,airport,OurAirports,
9091,Srednekolymsk,SEK,Russia,Srednekolymsk Airport,UESK,67.4805,153.7364,60,11,N,Asia/Srednekolymsk,airport,OurAirports,
9093,Salt Lake City,\N,United States,Comarapa Airport,SLCR,-17.91360092,-64.51779938,6186,-4,A,America/La_Paz,airport,OurAirports,
9095,Inverell,IVR,Australia,Inverell Airport,YIVL,-29.88829994,151.1439972,2667,10,O,Australia/Sydney,airport,OurAirports,
9096,Glen Innes,GLI,Australia,Glen Innes Airport,YGLI,-29.67499924,151.6889954,3433,10,O,Australia/Sydney,airport,OurAirports,
9100,Ansbach,\N,Germany,Ansbach-Petersdorf Airport,EDQF,49.361111,10.669444,1371,1,E,Europe/Berlin,airport,OurAirports,
9102,Immokalee ,IMM,United States,Immokalee Regional Airport,KIMM,26.43320084,-81.40100098,37,-5,A,America/New_York,airport,OurAirports,
9103,Sulawesi Tenggara,TQQ,Indonesia,Maranggo Airport,WA44,-5.764570236,123.9169998,169,8,N,Asia/Makassar,airport,OurAirports,
9104,Cambria,\N,United States,Rancho San Simeon Airport,66CA,35.60770035,-121.1100006,320,-8,A,America/Los_Angeles,airport,OurAirports,
9107,Yichun,YIC,China,Yichun Mingyueshan Airport,ZSYC,27.8025,114.3062,430,8,U,Asia/Shanghai,airport,OurAirports,
9120,Petersburg,PTB,United States,Dinwiddie County Airport,KPTB,37.18379974,-77.50740051,193,-5,A,America/New_York,airport,OurAirports,
9123,Kasongo,\N,Congo (Kinshasa),Kasongo Airport,FZOK,-4.532999992,26.61700058,1785,2,U,Africa/Lubumbashi,airport,OurAirports,
9124,McMurdo Station,\N,Antarctica,McMurdo Station Pegasus Field,NZPG,-77.96340179,166.5249939,18,12,Z,Antarctica/South_Pole,airport,OurAirports,
9125,Klatovy,\N,Czech Republic,Klatovy Airport,LKKT,49.41830063,13.32190037,1299,1,E,Europe/Prague,airport,OurAirports,
9126,Sheboygan,SBM,United States,Sheboygan County Memorial Airport,KSBM,43.76959991,-87.85140228,755,-6,A,America/Chicago,airport,OurAirports,
9127,Cloudbreak,KFE,Australia,Fortescue - Dave Forrest Aerodrome,YFDF,-22.290754,119.437143,1555,8,N,Australia/Perth,airport,OurAirports,
9129,Kangel Danda,\N,Nepal,Kangel Danda Airport,VNKL,27.41063331,86.646595,0,5.75,N,Asia/Katmandu,airport,OurAirports,
9132,Bajura,BJU,Nepal,Bajura Airport,VNBR,29.50200081,81.66899872,4300,5.75,N,Asia/Katmandu,airport,OurAirports,
9134,Chara,\N,Russia,Chara Airport,UIAR,56.91333389,118.2699966,2201,9,N,Asia/Yakutsk,airport,OurAirports,
9136,Herning,\N,Denmark,Herning Airport,EKHG,56.18470001,9.044449806,167,1,E,Europe/Copenhagen,airport,OurAirports,
9137,Schleissheim,\N,Germany,Oberschlei?heim Airfield,EDNX,48.239445,11.561389,1594,1,E,Europe/Berlin,airport,OurAirports,
9138,Marana,MZJ,United States,Pinal Airpark,KMZJ,32.51060104,-111.3280029,1893,-7,N,America/Phoenix,airport,OurAirports,
9139,Glendale,\N,United States,Glendale Municipal Airport,KGEU,33.52690125,-112.2949982,1071,-7,N,America/Phoenix,airport,OurAirports,
9140,Safford,SAD,United States,Safford Regional Airport,KSAD,32.85480118,-109.6350021,3179,-7,N,America/Phoenix,airport,OurAirports,
9141,Verden,\N,Germany,Verden-Scharnhorst Airfield,EDWV,52.965279,9.282778,144,1,E,Europe/Berlin,airport,OurAirports,
9146,Solomon,SLJ,Australia,Solomon Airport,YSOL,-22.2554,117.7627,2030,8,N,Australia/Perth,airport,OurAirports,
9147,Nittenau,\N,Germany,Nittenau-Bruck Airport,EDNM,49.22249985,12.2966671,1161,1,E,Europe/Berlin,airport,OurAirports,
9148,Kerama,KJP,Japan,Kerama Airport,ROKR,26.16830063,127.2929993,156,9,N,Asia/Tokyo,airport,OurAirports,
9149,Americana,\N,Brazil,Americana Airport,SDAI,-22.75580025,-47.26940155,2085,-3,S,America/Sao_Paulo,airport,OurAirports,
9156,Ekibastuz,EKB,Kazakhstan,Ekibastuz Airport,UASB,51.5909996,75.21499634,621,6,N,Asia/Qyzylorda,airport,OurAirports,
9162,Adamovka,\N,Russia,Adamovka,UWOD,51.5,59.936111,0,5,N,Asia/Yekaterinburg,airport,OurAirports,
9163,Kvarkeno,\N,Russia,Kvarkeno,UWOH,52.078333,59.683333,0,5,N,Asia/Yekaterinburg,airport,OurAirports,
9164,Sikeston,SIK,United States,Sikeston Memorial Municipal Airport,KSIK,36.89889908,-89.5617981,315,-6,A,America/Chicago,airport,OurAirports,
9175,Tetiaroa,TTI,French Polynesia,Tetiaroa Airport,NTTE,-17.01329994,-149.5870056,7,-10,N,Pacific/Tahiti,airport,OurAirports,
9178,Queensbury,GFL,United States,Floyd Bennett Memorial Airport,KGFL,43.34120178,-73.61029816,328,-5,A,America/New_York,airport,OurAirports,
9179,Ballston Spa,\N,United States,Saratoga County Airport,K5B2,43.05130005,-73.86119843,434,-5,A,America/New_York,airport,OurAirports,
9182,Crystal River,\N,United States,Crystal River Airport,KCGC,28.86730003,-82.57129669,9,-5,A,America/New_York,airport,OurAirports,
9183,Baltimore,MTN,United States,Martin State Airport,KMTN,39.325699,-76.413803,21,-5,A,America/New_York,airport,OurAirports,
9184,Lincoln,\N,United States,Lincoln Regional Karl Harder Field,KLHM,38.90919876,-121.3509979,121,-8,A,America/Los_Angeles,airport,OurAirports,
9185,Fostoria,\N,United States,Fostoria Metropolitan Airport,KFZI,41.19079971,-83.39450073,752,-5,A,America/New_York,airport,OurAirports,
9186,Fryeburg,FRY,United States,Eastern Slopes Regional Airport,KIZG,43.99110031,-70.94789886,454,-5,A,America/New_York,airport,OurAirports,
9187,Placida,\N,United States,Coral Creek Airport,FA54,26.85449982,-82.25119781,4,-5,A,America/New_York,airport,OurAirports,
9188,New Orleans,NEW,United States,Lakefront Airport,KNEW,30.04240036,-90.02829742,8,-6,A,America/Chicago,airport,OurAirports,
9189,Coeur d'Alene,COE,United States,Coeur D'Alene - Pappy Boyington Field,KCOE,47.77429962,-116.8199997,2320,-8,A,America/Los_Angeles,airport,OurAirports,
9190,Beaumont,BMT,United States,Beaumont Municipal Airport,KBMT,30.07069969,-94.21579742,32,-6,A,America/Chicago,airport,OurAirports,
9191,Danville,DNV,United States,Vermilion Regional Airport,KDNV,40.19919968,-87.59590149,697,-6,A,America/Chicago,airport,OurAirports,
9193,Coonabarabran,COJ,Australia,Coonabarabran Airport,YCBB,-31.33250046,149.2669983,2117,10,O,Australia/Sydney,airport,OurAirports,
9199,Titusville,TIX,United States,Space Coast Regional Airport,KTIX,28.51479912,-80.79920197,34,-5,A,America/New_York,airport,OurAirports,
9205,Bumi Hills,BZH,Zimbabwe,Bumi Airport,FVBM,-16.81699944,28.35000038,1650,2,N,Africa/Harare,airport,OurAirports,
9207,Warnervale Airport,\N,Australia,Warnervale Airport,YWVA,-33.240278,151.429722,25,10,U,Australia/Sydney,airport,OurAirports,
9215,Bouarfa,UAR,Morocco,Bouarfa Airport,GMFB,32.51430556,-1.983055556,3630,0,N,Africa/Casablanca,airport,OurAirports,
9218,NYERI,NYE,Kenya,Nyeri Airport,HKNI,-0.364414006,36.97848511,5830,3,U,Africa/Nairobi,airport,OurAirports,
9225,Houston,AAP,United States,Andrau Airpark,KAAP,29.72249985,-95.58830261,79,-6,A,America/Chicago,airport,OurAirports,
9226,Eden Prairie,FCM,United States,Flying Cloud Airport,KFCM,44.82720184,-93.45709991,906,-6,A,America/Chicago,airport,OurAirports,
9227,Likoma Island,LIX,Malawi,Likoma Island Airport,FWLK,-12.075833,34.737222,1600,2,N,Africa/Blantyre,airport,OurAirports,
9228,Olathe,OJC,United States,Johnson County Executive Airport,KOJC,38.84759903,-94.73760223,1096,-6,A,America/Chicago,airport,OurAirports,
9229,Sigiriya,GIU,Sri Lanka,Sigiriya Air Force Base,VCCS,7.956669807,80.72850037,630,5.5,N,Asia/Colombo,airport,OurAirports,
9232,Neumuenster,EUM,Germany,Neum?nster Airport,EDHN,54.07944489,9.941389084,72,1,E,Europe/Berlin,airport,OurAirports,
9233,Tak,TKT,Thailand,Tak Airport,VTPT,16.89599991,99.25330353,478,7,N,Asia/Bangkok,airport,OurAirports,
9236,Barrie-Orillia,YLK,Canada,Barrie-Orillia (Lake Simcoe Regional Airport),CYLS,44.48529816,-79.55560303,972,-5,A,America/Toronto,airport,OurAirports,
9237,Midland,\N,Canada,Huronia Airport,CYEE,44.68330002,-79.92829895,770,-5,A,America/Toronto,airport,OurAirports,
9238,Markham,\N,Canada,Markham Airport,CNU8,43.93579865,-79.2621994,807,-5,A,America/Toronto,airport,OurAirports,
9239,Haliburton,\N,Canada,Stanhope Municipal Airport,CND4,45.11083333,-78.64,1066,-5,A,America/Toronto,airport,OurAirports,
9240,Lindsay,\N,Canada,Kawartha Lakes (Lindsay) Airport,CNF4,44.3647,-78.783897,882,-5,A,America/Toronto,airport,OurAirports,
9241,Saint Catherines,YCM,Canada,Niagara District Airport,CYSN,43.19169998,-79.17169952,321,-5,A,America/Toronto,airport,OurAirports,
9243,Edenvale,\N,Canada,Edenvale Aerodrome,CNV8,44.441101,-79.962799,718,-5,A,America/Toronto,airport,OurAirports,
9244,Orillia,\N,Canada,Orillia Airport,CNJ4,44.67765578,-79.3102169,725,-5,A,America/Toronto,airport,OurAirports,
9245,Holland Landing,\N,Canada,Holland Landing Airpark,CLA4,44.08940125,-79.49500275,855,-5,A,America/Toronto,airport,OurAirports,
9247,Parry Sound,YPD,Canada,Parry Sound Area Municipal Airport,CNK4,45.2575,-79.829697,832,-5,A,America/Toronto,airport,OurAirports,
9248,Hanover,\N,Canada,Hanover / Saugeen Municipal Airport,CYHS,44.158298,-81.062798,939,-5,A,America/Toronto,airport,OurAirports,
9249,West Goshen Township,\N,United States,Brandywine Airport,KOQN,39.99010086,-75.58190155,466,-5,A,America/New_York,airport,OurAirports,
9251,Manassas,MNZ,United States,Manassas Regional Airport/Harry P. Davis Field,KHEF,38.72140121,-77.51540375,192,-5,A,America/New_York,airport,OurAirports,
9252,Angleton,LJN,United States,Texas Gulf Coast Regional Airport,KLBX,29.10860062,-95.46209717,25,-6,A,America/Chicago,airport,OurAirports,
9253,Bubovice,\N,Czech Republic,Bubovice Airport,LKBU,49.97439957,14.17809963,1401,1,E,Europe/Prague,airport,OurAirports,
9255,Rakkestad,\N,Norway,Rakkestad Astorp Airport,ENRK,59.397499,11.3469,400,1,E,Europe/Oslo,airport,OurAirports,
9272,Bingol,BGG,Turkey,Bing?l ?eltiksuyu Airport,LTCU,38.85926056,40.59596252,3506,3,E,Europe/Istanbul,airport,OurAirports,
9273,Kastamonu,KFS,Turkey,Kastamonu Airport,LTAL,41.31420135,33.79579926,3520,3,E,Europe/Istanbul,airport,OurAirports,
9276,Elstree,\N,United Kingdom,Elstree Airfield,EGTR,51.65579987,-0.325832993,332,0,E,Europe/London,airport,OurAirports,
9277,Sandtoft,\N,United Kingdom,Sandtoft Airfield,EGCF,53.55970001,-0.858332992,11,0,E,Europe/London,airport,OurAirports,
9290,Torit,\N,South Sudan,Torit Airport,HSTR,4.400000095,32.58300018,2050,3,N,Africa/Juba,airport,OurAirports,
9305,Shelbyville,\N,United States,Shelby County Airport,K2H0,39.41040039,-88.84539795,618,-6,A,America/Chicago,airport,OurAirports,
9308,Lvliang,LLV,China,L?liang Airport,ZBLL,37.683333,111.142778,0,8,N,Asia/Shanghai,airport,OurAirports,
9310,Daocheng,DCY,China,Daocheng Yading Airport,ZUDC,29.323056,100.053333,14472,8,N,Asia/Shanghai,airport,OurAirports,
9311,Xiahe city,GXH,China,Gannan Xiahe Airport,ZLXH,34.8105,102.6447,10510,8,N,Asia/Shanghai,airport,OurAirports,
9317,Vangso,\N,Sweden,V?ngs? Airport,ESSZ,59.10110092,17.21109962,0,1,E,Europe/Stockholm,airport,OurAirports,
9327,Comiso,CIY,Italy,Comiso Airport,LICB,36.994601,14.607182,623,1,E,Europe/Rome,airport,OurAirports,
9348,Enumclaw,\N,United States,Enumclaw Airport,WA77,47.1957016,-122.0220032,738,-8,A,America/Los_Angeles,airport,OurAirports,
9371,Markovo,KVM,Russia,Markovo Airport,UHMO,64.667,170.417007,0,12,N,Asia/Anadyr,airport,OurAirports,
9372,Seymchan,\N,Russia,Seymchan Airport,UHMS,62.92078018,152.4227753,679,11,N,Asia/Srednekolymsk,airport,OurAirports,
9373,Zyryanka,ZKP,Russia,Zyryanka Airport,UESU,65.7485,150.8889,140,11,N,Asia/Srednekolymsk,airport,OurAirports,
9374,Susuman,\N,Russia,Susuman Airport,UHMH,62.76666641,148.1466675,2129,11,N,Asia/Srednekolymsk,airport,OurAirports,
9376,Ust-Maya,UMS,Russia,Ust-Maya Airport,UEMU,60.35699844,134.4349976,561,9,N,Asia/Yakutsk,airport,OurAirports,
9377,Aldan,ADH,Russia,Aldan Airport,UEEA,58.60279846,125.4089966,2241,9,N,Asia/Yakutsk,airport,OurAirports,
9378,Olekminsk,OLZ,Russia,Olyokminsk Airport,UEMO,60.397499,120.471001,656,9,N,Asia/Yakutsk,airport,OurAirports,
9379,Vitim,\N,Russia,Vitim Airport,UERT,59.458,112.563004,610,9,N,Asia/Yakutsk,airport,OurAirports,
9380,Pellworm,\N,Germany,Pellworm Field,EDHP,54.5363884,8.680000305,3,1,E,Europe/Berlin,airport,OurAirports,
9386,Xinyuan,NLT,China,Xinyuan Nalati Airport,ZWNL,43.4318,83.3786,3050,8,U,Asia/Shanghai,airport,OurAirports,
9387,Port alsworth,PTA,United States,Port Alsworth Airport,PALJ,60.201681,-154.325863,280,-9,A,America/Anchorage,airport,OurAirports,
9388,Belfort,BOR,France,Fontaine Airport,LFSQ,47.6556015,7.010829926,1208,1,E,Europe/Paris,airport,OurAirports,
9390,Winnsboro,\N,United States,Fairfield County Airport,KFDW,34.31549835,-81.1088028,577,-5,A,America/New_York,airport,OurAirports,
9391,Obock,OBC,Djibouti,Obock Airport,HDOB,11.96700001,43.26699829,69,3,N,Africa/Djibouti,airport,OurAirports,
9392,Tadjoura,TDJ,Djibouti,Tadjoura Airport,HDTJ,11.78299999,42.91699982,246,3,N,Africa/Djibouti,airport,OurAirports,
9393,Santa Cruz des Quiche,AQB,Guatemala,Santa Cruz del Quiche Airport,MGQC,15.01220036,-91.15059662,6631,-6,S,America/Guatemala,airport,OurAirports,
9394,Nordfjordur,NOR,Iceland,Nor?fj?r?ur Airport,BINF,65.13189697,-13.74639988,13,0,E,Atlantic/Reykjavik,airport,OurAirports,
9395,Bursa,BTZ,Turkey,Bursa Airport,LTBE,40.23329926,29.00919914,331,3,U,Europe/Istanbul,airport,OurAirports,
9396,Rochester,\N,United States,Skyhaven Airport,KDAW,43.28409958,-70.9292984,322,-5,A,America/New_York,airport,OurAirports,
9397,Waris-Papua Island,WAR,Indonesia,Waris Airport,WAJR,-3.235,140.994,1500,9,U,Asia/Jayapura,airport,OurAirports,
9399,Newton,EWK,United States,Newton City-County Airport,KEWK,38.05820084,-97.27449799,1533,-6,A,America/Chicago,airport,OurAirports,
9400,La Ferte Alais,\N,France,La Fert? Alais Airfield,LFFQ,48.498652,2.338867,453,1,E,Europe/Paris,airport,OurAirports,
9402,Bairnsdale,BSJ,Australia,Bairnsdale Airport,YBNS,-37.88750076,147.5679932,165,10,O,Australia/Hobart,airport,OurAirports,
9403,Columbus,TZR,United States,Tasz?r Air Base,LHTA,46.39310074,17.91749954,531,1,A,Europe/Budapest,airport,OurAirports,
9406,Fort Bridger,FBR,United States,Fort Bridger Airport,KFBR,41.39189911,-110.4069977,7034,-7,A,America/Denver,airport,OurAirports,
9407,Prosser,\N,United States,Prosser Airport,KS40,46.21340179,-119.7910004,697,-8,A,America/Los_Angeles,airport,OurAirports,
9408,Chehalis,CLS,United States,Chehalis Centralia Airport,KCLS,46.67699814,-122.9830017,176,-8,A,America/Los_Angeles,airport,OurAirports,
9409,Mattawa,\N,United States,Desert Aire Regional Airport,KM94,46.687401,-119.920998,586,-8,A,America/Los_Angeles,airport,OurAirports,
9411,Evanston,EVW,United States,Evanston-Uinta County Airport-Burns Field,KEVW,41.27479935,-111.0350037,7143,-7,A,America/Denver,airport,OurAirports,
9412,Sabetha,\N,United States,Sabetha Municipal Airport,KK83,39.90420151,-95.77940369,1330,-6,A,America/Chicago,airport,OurAirports,
9413,Mount Pleasant,\N,United States,Mt Pleasant Regional-Faison field,KLRO,32.89780045,-79.78289795,12,-5,A,America/New_York,airport,OurAirports,
9414,Americus,\N,United States,Jimmy Carter Regional Airport,KACJ,32.110802,-84.188904,468,-5,A,America/New_York,airport,OurAirports,
9415,Eufala,EUF,United States,Weedon Field,KEUF,31.95129967,-85.12889862,285,-6,A,America/Chicago,airport,OurAirports,
9416,Saluda,\N,United States,Saluda County Airport,K6J4,33.92679977,-81.79460144,555,-5,A,America/New_York,airport,OurAirports,
9417,Manteo,MEO,United States,Dare County Regional Airport,KMQI,35.91899872,-75.69550323,13,-5,A,America/New_York,airport,OurAirports,
9418,Auburn,AUO,United States,Auburn University Regional Airport,KAUO,32.615101,-85.433998,777,-6,A,America/Chicago,airport,OurAirports,
9419,Endicott,\N,United States,Tri Cities Airport,KCZG,42.078499,-76.096296,833,-5,A,America/New_York,airport,OurAirports,
9428,Bessemer,\N,United States,Bessemer Airport,KEKY,33.31290054,-86.92590332,700,-6,A,America/Chicago,airport,OurAirports,
9429,Ellicott,\N,United States,Colorado Springs East Airport,KA50,38.87440109,-104.4100037,6145,-7,A,America/Denver,airport,OurAirports,
9447,Crystal,\N,United States,Crystal Airport,KMIC,45.06200027,-93.35389709,869,-6,A,America/Chicago,airport,OurAirports,
9448,Quitman,\N,United States,Clarke County Airport,K23M,32.0849,-88.738897,320,-6,A,America/Chicago,airport,OurAirports,
9450,Dublin,DBN,United States,W H 'Bud' Barron Airport,KDBN,32.56439972,-82.98529816,309,-5,A,America/New_York,airport,OurAirports,
